chat_bot,query_num,partial_response_time,total_response_time
yeti,1,5.949000120162964,6.730159044265747
yeti,2,6.816472053527832,8.768175840377808
yeti,3,7.375777006149292,8.072019100189209
yeti,4,8.906812906265259,9.719712972640991
yeti,5,8.299379110336304,11.24215006828308
yeti,6,7.734657049179077,9.8574800491333
yeti,7,13.706748008728027,17.08656883239746
yeti,8,11.934622764587402,14.979795932769775
yeti,9,10.529145240783691,14.393893241882324
yeti,10,10.88033390045166,13.163268804550173
yeti,11,6.484281063079834,9.28083610534668
yeti,12,7.247920989990234,7.504904985427856
yeti,13,6.793889999389648,10.096430778503418
yeti,14,6.67901611328125,8.57485318183899
yeti,15,10.998269081115724,12.531681776046751
yeti,16,7.697682857513428,10.818253755569458
yeti,17,11.891147136688232,12.714512825012209
yeti,18,8.644705772399902,12.658584833145142
yeti,19,12.099940061569214,15.600191831588743
yeti,20,13.701780080795288,16.708116054534912
yeti,21,15.31378412246704,19.840129137039185
yeti,22,16.54773211479187,21.204509019851685
yeti,23,21.662249088287354,25.333630084991455
yeti,24,9.237650156021118,11.651934146881104
yeti,25,17.52868914604187,20.156902313232425
yeti,26,10.170892000198364,13.218834161758425
yeti,27,11.68659210205078,16.72994899749756
yeti,28,19.70017409324646,23.2219340801239
yeti,29,22.62376070022583,24.33291482925415
yeti,30,20.659717082977295,22.516207933425903
yeti,31,25.733043909072876,28.03421115875244
yeti,32,24.708481073379517,26.45131802558899
yeti,33,27.272233963012695,30.636371850967407
yeti,34,174.57748889923096,177.55568170547485
yeti,35,27.184659004211422,32.78036308288574
yeti,36,54.66555190086365,54.81554698944092
yeti,37,29.924000024795532,31.128021001815796
yeti,38,35.524158000946045,37.11734700202942
yeti,39,14.88325810432434,21.09849786758423
yeti,40,30.665531158447266,32.26588487625122
rufus,1,2.5174739360809326,10.157707929611206
rufus,2,2.79231595993042,10.420964002609251
rufus,3,3.3941450119018555,8.465166807174683
rufus,4,2.2192132472991943,11.874047994613647
rufus,5,2.0846688747406006,10.729089975357056
rufus,6,2.2424776554107666,12.42707872390747
rufus,7,2.7274270057678223,11.89270281791687
rufus,8,0.5378191471099854,1.554253101348877
rufus,9,2.512346029281616,5.572880983352661
rufus,10,2.6888158321380615,8.280839920043945
rufus,11,2.2656540870666504,4.295151233673096
rufus,12,2.592808961868286,5.651017904281616
rufus,13,2.823660135269165,9.947464227676392
rufus,14,2.510822057723999,16.75823402404785
rufus,15,2.6538150310516357,15.383458137512209
rufus,16,2.6473028659820557,16.891988039016724
rufus,17,2.6589651107788086,7.752362966537476
rufus,18,0.5096628665924072,3.555896043777466
rufus,19,2.4262959957122803,7.507593154907227
rufus,20,2.155117988586426,8.764201164245605
rufus,21,2.7261698246002197,10.350069046020508
rufus,22,3.26389217376709,11.928014039993286
rufus,23,2.561718702316284,7.138430833816528
rufus,24,2.7361907958984375,8.86058497428894
rufus,25,2.9016757011413574,10.03093194961548
rufus,26,3.0325708389282227,9.634942054748535
rufus,27,2.174489974975586,9.804811954498293
rufus,28,2.973827123641968,11.109782934188845
rufus,29,2.5261847972869873,9.647494792938232
rufus,30,2.5411911010742188,8.648267030715942
rufus,31,2.5906410217285156,6.157693147659302
rufus,32,3.6260080337524414,8.199653148651123
rufus,33,2.183115005493164,8.794420003890991
rufus,34,2.824349880218506,6.4237380027771
rufus,35,2.257280111312866,7.913012981414795
rufus,36,2.588871955871582,8.235830783843994
rufus,37,3.858721017837525,10.036618947982788
rufus,38,2.5753133296966553,9.740029335021973
rufus,39,3.5349161624908447,6.606909990310669
rufus,40,1.807180881500244,4.879907846450806
rufus,41,3.211806058883667,10.889299154281616
rufus,42,3.0876951217651367,5.656360149383545
rufus,43,3.291745185852051,6.360267162322998
rufus,44,2.3645639419555664,12.603217840194702
rufus,45,2.888697862625122,5.952762842178345
rufus,46,2.8962018489837646,7.0094687938690186
rufus,47,2.457371234893799,8.09034013748169
rufus,48,3.186750888824463,8.849030017852783
rufus,49,2.3487212657928467,14.133548021316528
fi,1,5.072720289230347,5.072720289230347
fi,2,6.599416017532349,6.599416017532349
fi,3,6.082697868347168,6.082697868347168
fi,4,8.118969678878784,8.118969678878784
fi,5,5.570517063140869,5.570517063140869
fi,6,6.098401069641113,6.098401069641113
fi,7,6.08817720413208,6.08817720413208
fi,8,9.140856266021729,9.140856266021729
fi,9,5.076114892959595,5.076114892959595
fi,10,7.613614082336426,7.613614082336426
fi,11,9.1599018573761,9.1599018573761
fi,12,6.5927228927612305,6.5927228927612305
fi,13,9.155821084976196,9.155821084976196
fi,14,6.599942684173584,6.599942684173584
fi,15,7.112787961959839,7.112787961959839
fi,16,6.609055042266846,6.609055042266846
fi,17,9.66181707382202,9.66181707382202
fi,18,6.609199047088623,6.609199047088623
fi,19,9.157572269439695,9.157572269439695
fi,20,8.139570951461792,8.139570951461792
fi,21,10.186584234237673,10.186584234237673
fi,22,9.662833213806152,9.662833213806152
fi,23,7.1036951541900635,7.1036951541900635
fi,24,10.163076162338257,10.163076162338257
fi,25,8.620023727416992,8.620023727416992
fi,26,8.641074180603027,8.641074180603027
fi,27,6.5871741771698,6.5871741771698
fi,28,6.60813307762146,6.60813307762146
fi,29,6.596487045288086,6.596487045288086
fi,30,8.643532991409302,8.643532991409302
fi,31,8.133781909942627,8.133781909942627
fi,32,9.146470069885254,9.146470069885254
fi,33,9.139853715896606,9.139853715896606
fi,34,8.652580261230469,8.652580261230469
fi,35,8.14082407951355,8.14082407951355
fi,36,9.678593158721924,9.678593158721924
fi,37,8.63938283920288,8.63938283920288
fi,38,7.663952827453613,7.663952827453613
fi,39,8.632930040359497,8.632930040359497
fi,40,8.138528108596802,8.138528108596802
fi,41,9.655057191848757,9.655057191848757
fi,42,9.654232025146484,9.654232025146484
fi,43,8.142776012420654,8.142776012420654
fi,44,8.642820119857788,8.642820119857788
fi,45,7.6289567947387695,7.6289567947387695
fi,46,9.174107789993286,9.174107789993286
fi,47,9.15108585357666,9.15108585357666
fi,48,7.621562957763672,7.621562957763672
